crop_type,soil_moisture,temperature,humidity,canal_level,wind_speed,crop_age_days,predicted_moisture_6h,water_need_code
Groundnut,56.84,37.14,51.1,93.75,6.35,24.6,40.29,1
Cotton,45.93,38.33,88.69,50.44,6.02,101.7,31.46,1
Maize,32.11,29.56,64.96,54.24,3.05,46.2,21.25,2
Groundnut,76.8,35.76,44.71,61.28,7.46,72.5,55.39,0
Maize,41.17,23.9,62.67,42.71,7.02,101.9,28.65,2
Tomato,46.22,32.06,70.52,75.28,2.79,15.5,36.33,1
Groundnut,43.68,27.17,80.55,11.31,6.18,84.8,35.37,1
Maize,27.74,31.92,79.67,24.6,6.56,26.3,16.67,2
Rice,66.21,33.51,37.71,26.99,3.91,88.8,52.77,0
Maize,46.39,26.94,59.94,67.18,0.96,27.7,40.39,1
Cotton,16.14,24.32,36.13,90.15,2.67,12.4,7.02,2
Tomato,82.48,26.43,83.85,15.73,7.91,27.1,72.01,0
Maize,72.1,33.28,44.56,86.72,5.73,78.8,56.94,0
Rice,65.65,33.54,69.37,83.76,6.2,118.4,48.39,1
Cotton,75.84,34.83,66.38,16.9,7.3,116.7,58.78,0
Maize,78.48,22.53,69.4,22.89,1.62,92.0,69.27,0
Tomato,38.62,36.37,65.99,41.5,7.75,100.7,14.44,2
Tomato,57.77,33.76,74.36,20.32,4.15,106.1,40.2,1
Chilli,57.62,20.61,69.44,78.25,5.96,68.1,47.96,1
Cotton,33.71,26.71,39.97,55.37,2.55,35.1,27.87,2
Groundnut,30.54,29.33,55.17,46.97,2.64,82.7,18.25,2
Maize,22.97,27.21,65.06,75.25,2.88,25.6,11.05,2
Rice,61.15,22.35,52.89,36.36,2.78,101.6,53.49,0
Cotton,69.66,24.15,76.82,88.44,0.5,55.3,65.32,0
Chilli,68.27,20.49,52.48,68.86,2.48,39.3,59.62,0
Cotton,37.14,21.86,80.58,41.19,5.18,102.8,29.92,2
Rice,29.37,25.33,43.07,58.59,7.22,22.2,19.79,2
Tomato,46.75,36.4,77.32,33.35,0.33,117.2,29.89,2
Cotton,53.28,30.53,45.09,98.65,0.13,114.5,39.89,1
Cotton,79.34,28.49,64.04,49.2,4.74,77.0,70.65,0
Maize,76.24,33.24,52.63,90.71,5.6,88.3,58.4,0
Cotton,79.12,30.83,70.05,98.02,4.87,14.1,73.0,0
Groundnut,74.52,22.63,46.7,58.22,7.78,58.1,62.54,0
Maize,82.52,24.45,78.75,75.7,1.83,107.3,75.42,0
Groundnut,47.58,24.45,66.55,61.5,3.85,11.3,41.93,1
Tomato,18.32,32.0,87.65,18.24,7.33,42.0,5.0,2
Tomato,20.85,29.23,74.15,95.72,4.94,48.9,9.42,2
Cotton,42.32,27.75,68.41,51.1,4.62,84.3,32.6,1
Chilli,33.04,31.13,80.6,90.47,7.46,87.5,19.76,2
Rice,26.9,39.4,47.08,69.0,2.71,17.2,10.21,2
Cotton,81.72,26.28,69.8,19.47,1.26,33.9,76.53,0
Tomato,28.68,30.4,56.47,47.53,1.03,100.8,15.08,2
Cotton,82.16,29.61,75.91,27.63,6.57,31.1,73.53,0
Rice,68.26,34.33,36.35,25.29,6.86,41.5,50.86,0
Cotton,59.87,34.61,58.52,74.36,1.87,27.8,50.03,0
Cotton,62.32,34.58,70.84,12.7,3.66,93.0,54.42,0
Cotton,38.2,24.03,60.34,96.95,4.68,13.0,30.74,1
Chilli,60.25,28.98,48.09,50.49,1.11,43.2,49.31,1
Maize,28.07,36.22,60.54,54.08,6.79,68.6,14.75,2
Cotton,80.64,27.63,81.74,36.95,3.35,10.7,75.43,0
Tomato,36.13,39.69,46.38,17.71,6.91,114.9,6.81,2
Cotton,32.86,27.3,55.19,62.94,6.08,105.6,20.52,2
Chilli,64.78,29.95,89.47,41.03,2.36,81.2,52.8,0
Maize,60.95,29.49,85.2,66.17,5.73,58.3,52.02,0
Chilli,46.59,28.67,36.87,60.02,5.93,27.1,30.26,1
Chilli,59.27,36.91,64.17,29.52,2.49,70.9,44.96,1
Rice,26.16,23.11,38.6,51.55,2.03,36.3,19.38,2
Rice,62.13,31.35,85.81,37.73,6.59,80.2,51.85,0
Tomato,33.94,32.37,59.28,31.58,5.42,26.0,15.99,2
Rice,34.1,37.02,58.01,79.27,5.92,88.9,18.57,2
Maize,26.35,32.18,50.01,11.07,2.5,45.5,15.82,2
Cotton,38.27,39.2,66.29,34.2,5.78,65.2,20.83,2
Chilli,38.19,37.44,42.97,57.8,5.71,27.8,16.93,2
Maize,46.79,26.97,78.94,52.85,2.67,38.2,40.03,1
Groundnut,28.33,37.2,62.02,94.61,2.16,59.5,14.41,2
Chilli,28.51,39.17,66.16,85.93,3.45,60.4,13.29,2
Rice,52.92,25.14,81.24,77.64,5.91,120.0,45.25,1
Cotton,24.02,32.2,45.18,56.27,1.55,46.9,14.34,2
Chilli,63.22,25.64,44.64,48.6,6.99,19.3,50.76,0
Chilli,81.08,32.99,58.14,13.29,2.04,67.7,68.29,0
Chilli,44.88,21.87,78.24,83.95,6.72,45.4,36.47,1
Chilli,78.08,34.68,38.22,48.76,1.25,106.6,59.59,0
Rice,21.88,28.4,78.73,38.89,5.92,33.1,14.46,2
Chilli,18.01,31.75,62.54,64.6,4.49,104.1,5.0,2
Cotton,65.5,20.52,65.9,77.87,5.29,83.0,58.98,0
Tomato,68.27,33.91,66.04,57.07,7.79,30.7,48.34,1
Chilli,74.01,29.92,38.09,23.46,0.42,54.6,62.35,0
Rice,18.98,32.51,48.74,92.95,1.19,64.2,9.72,2
Maize,69.38,26.31,76.54,20.16,0.63,67.4,61.0,0
Maize,41.36,22.92,57.67,97.26,4.16,53.7,32.33,1
Groundnut,36.23,28.71,65.83,49.82,6.42,74.3,22.84,2
Tomato,27.11,38.88,86.97,95.2,0.44,88.8,15.32,2
Tomato,84.72,24.56,37.54,92.32,6.24,65.7,72.89,0
Maize,19.46,33.52,59.73,46.56,3.46,76.3,5.0,2
Groundnut,72.89,21.0,54.87,82.0,7.53,104.6,55.95,0
Groundnut,59.76,34.36,40.85,18.08,3.06,64.8,46.73,1
Rice,66.46,24.77,87.29,17.45,7.88,55.8,58.07,0
Tomato,64.82,29.03,87.88,42.04,4.45,37.3,55.08,0
Cotton,75.09,27.36,52.13,64.88,7.92,24.5,66.01,0
Rice,27.87,22.26,87.07,10.84,5.06,42.1,21.9,2
Groundnut,15.06,26.91,36.93,56.37,2.77,54.7,5.0,2
Tomato,56.9,27.0,88.95,97.81,6.43,94.1,44.92,1
Groundnut,39.77,30.44,80.98,87.26,3.9,33.9,31.29,1
Tomato,23.67,39.45,46.79,30.92,2.47,87.2,5.19,2
Maize,28.03,29.4,67.98,57.53,3.83,18.7,20.97,2
Chilli,38.22,38.29,78.91,25.43,6.98,27.4,20.88,2
Rice,19.92,29.23,52.56,33.69,5.86,45.9,7.26,2
Chilli,18.98,22.15,54.46,93.07,1.39,61.7,13.23,2
Chilli,79.12,24.6,69.59,99.8,6.71,29.9,66.44,0
Cotton,36.85,28.15,43.09,31.83,3.45,22.3,30.14,1
Groundnut,83.76,26.51,41.5,29.09,0.66,72.2,74.45,0
Chilli,82.51,37.32,48.74,44.55,1.18,55.3,65.02,0
Maize,24.98,33.57,75.77,50.13,0.53,55.7,12.77,2
Maize,65.04,31.57,55.16,18.03,5.41,43.9,51.89,0
Maize,57.06,29.82,62.9,23.29,2.06,50.8,46.02,1
Cotton,63.35,27.95,45.75,48.23,0.77,30.2,55.29,0
Tomato,21.73,32.24,45.68,31.19,2.93,39.8,5.0,2
Tomato,28.2,22.49,70.77,86.04,6.94,69.7,16.94,2
Maize,20.36,23.25,40.96,77.64,5.03,67.5,7.77,2
Rice,57.29,26.06,71.73,58.27,3.89,109.7,49.15,1
Rice,84.06,23.42,57.04,48.94,5.87,101.6,73.43,0
Rice,62.04,33.54,71.92,84.79,0.61,10.8,47.92,1
Cotton,64.75,20.5,56.0,24.94,7.06,35.3,56.55,0
Cotton,83.92,23.2,81.53,89.86,1.42,107.6,76.49,0
Cotton,62.46,38.05,38.06,14.42,0.17,44.6,47.55,1
Maize,17.81,39.95,84.13,93.11,2.9,62.5,5.08,2
Cotton,75.69,29.75,49.78,22.49,0.47,84.2,63.27,0
Rice,40.53,29.91,37.34,83.09,1.34,69.8,29.47,2
Groundnut,15.31,35.47,65.93,11.62,5.91,10.5,5.0,2
Chilli,50.51,20.72,47.34,83.36,3.24,32.7,40.87,1
Groundnut,80.59,28.54,60.26,62.57,0.06,21.0,71.0,0
Rice,33.01,22.0,79.13,11.71,5.15,28.4,28.02,2
Maize,49.41,28.02,78.54,79.68,5.66,26.2,40.33,1
Cotton,27.16,39.68,68.02,19.14,7.22,78.5,8.08,2
Maize,19.04,35.07,88.78,58.59,1.24,54.7,11.07,2
Maize,20.64,39.7,60.51,39.88,6.86,17.3,5.0,2
Rice,65.89,34.92,37.17,78.33,5.67,19.1,50.7,0
Maize,75.49,32.16,80.07,86.79,4.51,114.5,60.09,0
Tomato,25.03,35.08,47.17,51.78,2.09,27.0,8.18,2
Tomato,35.18,33.18,44.69,78.21,3.66,37.9,16.12,2
Cotton,28.65,29.28,38.85,92.5,1.59,73.2,17.44,2
Chilli,16.88,25.85,53.03,72.03,5.74,30.6,5.0,2
Chilli,53.74,30.4,52.94,38.98,5.63,31.7,36.15,1
Maize,63.99,25.17,51.65,51.7,1.53,18.0,56.61,0
Groundnut,60.35,29.73,67.63,30.7,2.02,117.9,50.54,0
Rice,42.16,22.92,76.33,51.26,7.21,76.7,39.07,1
Maize,53.85,31.31,86.58,32.13,3.77,68.3,45.24,1
Rice,21.59,24.91,40.17,82.65,4.41,107.8,12.4,2
Maize,25.8,25.87,43.27,64.89,7.67,75.4,7.58,2
Groundnut,80.23,29.98,67.44,66.99,1.66,38.9,67.2,0
Maize,68.31,23.25,40.4,19.92,5.02,61.9,56.31,0
Groundnut,79.59,39.25,55.39,10.13,6.19,62.5,64.61,0
Maize,79.17,28.94,69.35,81.03,2.56,53.8,74.37,0
Cotton,60.46,27.05,77.93,58.81,2.47,92.9,52.23,0
Maize,79.98,20.58,46.97,93.84,7.17,22.1,68.82,0
Tomato,44.17,36.87,71.74,58.35,0.8,27.5,31.94,1
Cotton,15.25,32.52,70.52,29.32,1.26,50.9,6.35,2
Groundnut,19.38,28.33,82.28,72.86,3.29,17.8,11.52,2
Tomato,22.66,24.91,52.26,73.09,6.39,118.6,9.39,2
Cotton,21.67,34.9,76.26,15.9,3.64,64.5,16.46,2
Tomato,39.62,38.91,76.36,72.43,2.16,15.5,27.39,2
Cotton,64.09,27.62,48.16,29.13,3.36,76.9,58.1,0
Cotton,70.35,22.7,69.16,32.91,3.56,95.9,60.35,0
Maize,56.31,22.18,72.13,12.83,5.82,54.8,50.41,0
Cotton,25.25,20.13,50.09,66.46,6.95,62.9,15.28,2
Tomato,67.35,34.88,59.85,75.86,2.57,87.1,54.6,0
Rice,39.84,39.63,58.97,30.74,5.67,35.7,25.92,2
Rice,15.91,39.86,77.54,81.33,5.61,75.7,5.0,2
Maize,34.64,35.68,35.04,78.58,6.14,79.4,13.25,2
Groundnut,38.14,23.24,62.56,46.88,4.6,98.5,28.04,2
Rice,34.2,39.55,45.14,16.14,0.12,108.0,17.75,2
Maize,71.83,26.56,70.58,35.22,5.25,113.5,61.96,0
Cotton,68.19,26.67,72.42,24.89,4.9,23.9,61.61,0
Tomato,63.69,33.75,62.56,96.29,4.89,99.8,49.34,1
Cotton,24.73,20.98,64.81,83.6,2.25,84.3,22.98,2
Tomato,71.55,36.52,52.33,17.05,0.78,50.8,54.11,0
Cotton,62.4,39.95,52.23,56.21,1.51,111.5,49.0,1
Chilli,28.64,35.5,75.98,34.02,1.73,104.6,15.12,2
Chilli,60.37,35.63,42.25,12.89,1.39,95.2,42.41,1
Tomato,48.85,27.81,77.43,39.01,1.96,16.3,42.87,1
Maize,45.75,21.32,71.03,21.48,0.55,29.5,43.24,1
Groundnut,22.85,35.85,83.65,30.05,2.15,111.0,9.37,2
Rice,51.28,31.94,49.31,39.39,7.98,118.0,34.36,1
Cotton,22.0,38.19,62.84,46.8,4.09,40.5,8.26,2
Maize,26.5,22.32,37.14,52.16,2.76,40.5,15.84,2
Cotton,24.28,26.1,85.19,56.82,5.76,77.1,16.66,2
Chilli,81.79,27.21,72.15,43.3,3.76,18.4,69.68,0
Maize,34.94,33.67,69.26,54.85,0.24,75.5,24.72,2
Tomato,39.86,35.75,75.3,47.61,4.38,116.6,25.7,2
Chilli,37.55,39.22,50.64,96.8,2.43,42.7,18.99,2
Rice,77.88,25.91,68.21,16.09,4.57,91.7,70.45,0
Chilli,54.41,29.87,79.05,62.74,1.39,67.7,45.09,1
Rice,79.34,20.58,39.97,27.43,3.86,41.6,69.42,0
Chilli,35.99,25.06,87.73,43.79,1.55,55.4,34.4,1
Chilli,23.04,27.48,84.05,59.18,2.39,70.6,9.73,2
Rice,53.94,31.88,87.97,78.38,5.5,93.8,42.83,1
Cotton,39.19,29.42,79.46,98.0,1.82,69.5,30.61,1
Maize,71.13,27.29,51.19,54.43,3.34,111.8,61.94,0
Cotton,76.56,32.48,66.99,33.13,0.59,22.9,69.05,0
Rice,48.08,36.57,41.61,81.24,5.5,115.3,35.18,1
Tomato,83.0,24.83,76.48,29.94,4.31,70.6,73.89,0
Maize,53.71,26.86,43.45,55.71,6.51,53.1,38.24,1
Tomato,33.96,34.1,82.68,86.2,4.28,18.4,17.62,2
Tomato,49.23,35.56,48.23,46.34,7.95,42.6,30.48,1
Chilli,17.61,36.51,43.82,60.13,1.93,58.2,5.0,2
Rice,71.28,24.19,38.9,20.76,5.94,113.1,58.08,0
Cotton,22.1,30.79,74.13,15.04,3.46,93.2,15.19,2
Rice,36.61,38.0,45.24,98.77,3.01,16.5,23.68,2
Tomato,54.57,27.84,45.87,26.1,5.85,46.1,38.35,1
Chilli,18.01,28.6,44.33,40.2,7.64,64.1,5.0,2
Cotton,20.55,39.7,51.82,55.42,6.04,103.5,5.0,2
Tomato,63.73,22.26,86.77,43.7,2.64,95.4,53.87,0
Tomato,20.02,34.11,61.76,18.76,4.08,33.8,6.13,2
Groundnut,48.4,37.0,49.35,27.72,1.74,15.6,36.04,1
Groundnut,38.71,23.02,44.37,54.41,4.96,24.6,29.84,2
Chilli,30.97,34.29,36.04,49.49,3.22,65.4,12.95,2
Maize,28.21,29.39,55.07,81.84,1.83,19.9,16.57,2
Maize,68.44,37.06,41.05,38.06,0.17,37.5,56.33,0
Chilli,81.61,38.15,36.49,94.63,7.4,100.3,53.38,0
Chilli,24.81,37.45,40.66,35.45,0.63,54.2,6.32,2
Tomato,82.18,21.29,52.52,39.82,2.63,119.6,73.05,0
Rice,56.63,35.14,76.3,95.44,1.52,93.2,45.36,1
Rice,59.92,38.43,38.68,85.64,3.95,39.1,43.07,1
Groundnut,64.69,32.43,72.33,38.53,1.56,10.8,54.34,0
Maize,64.29,32.02,69.13,45.58,5.89,68.0,51.29,0
Maize,72.39,20.9,83.51,85.8,1.8,87.6,65.9,0
Maize,48.84,37.12,45.12,17.75,1.48,61.7,32.48,1
Cotton,52.34,20.93,78.68,36.52,1.74,109.7,49.24,1
Rice,37.67,26.27,82.57,57.84,2.38,94.5,30.12,1
Rice,22.37,38.52,88.71,84.6,5.13,67.2,8.74,2
Tomato,61.52,38.99,79.47,60.82,1.68,12.1,47.86,1
Maize,17.35,39.84,41.81,54.08,5.57,47.2,5.0,2
Cotton,34.29,29.53,87.09,96.59,3.44,64.4,23.66,2
Maize,21.6,23.55,79.82,20.48,1.58,37.5,17.14,2
Maize,28.35,29.76,46.68,80.21,1.92,102.1,14.15,2
Groundnut,59.71,22.05,44.09,21.43,4.22,56.7,49.4,1
Rice,58.99,37.45,86.5,75.95,3.03,32.4,48.78,1
Chilli,44.47,31.21,43.56,58.88,4.11,95.7,25.45,2
Chilli,21.31,28.09,77.74,33.82,6.5,76.9,5.0,2
Maize,45.34,21.59,57.29,58.9,0.37,31.7,43.71,1
Cotton,39.69,28.1,74.81,89.15,3.15,68.6,34.55,1
Tomato,65.43,37.32,40.05,52.5,3.32,86.4,47.5,1
Groundnut,55.53,34.07,74.88,10.59,2.01,59.3,42.14,1
Tomato,49.41,21.65,63.16,15.09,3.54,43.3,41.74,1
Chilli,49.09,23.2,84.52,66.94,4.53,85.9,38.74,1
Chilli,82.64,27.85,45.36,71.01,4.68,85.6,67.49,0
Groundnut,67.94,22.03,41.01,46.16,5.36,11.9,57.84,0
Maize,49.79,38.68,45.79,31.85,0.61,35.8,31.89,1
Tomato,48.55,33.05,39.32,74.44,3.68,81.1,31.58,1
Rice,16.85,21.9,88.91,37.37,6.06,34.7,10.95,2
Maize,80.98,35.76,41.76,16.66,3.64,115.9,66.16,0
Cotton,37.34,27.37,46.05,46.86,5.25,27.9,27.45,2
Rice,32.92,24.9,79.53,58.52,4.72,92.3,19.91,2
Groundnut,84.96,31.4,48.57,96.91,3.72,119.8,66.79,0
Chilli,65.31,20.27,47.23,63.3,0.63,48.1,63.2,0
Rice,18.32,29.31,71.98,28.75,5.07,76.3,6.89,2
Tomato,19.33,36.88,56.93,84.9,4.28,21.6,5.0,2
Chilli,16.79,38.56,80.95,36.23,0.05,78.4,5.0,2
Tomato,56.97,26.85,70.1,96.34,1.65,118.6,49.7,1
Rice,20.01,32.85,50.85,39.28,0.49,117.0,5.0,2
Chilli,80.34,24.54,67.89,91.86,4.56,55.3,73.2,0
Cotton,80.58,31.2,82.66,89.11,0.12,100.3,75.99,0
Rice,53.22,25.08,55.05,87.76,6.74,100.9,41.6,1
Tomato,58.16,31.43,75.51,13.54,7.58,46.0,43.75,1
Tomato,35.43,23.43,57.87,86.49,7.8,100.5,20.97,2
Chilli,19.48,38.82,64.87,74.92,1.81,27.9,5.0,2
Cotton,66.62,37.74,75.35,40.09,3.96,117.7,54.79,0
Cotton,22.13,26.74,38.33,54.11,7.13,105.1,9.93,2
Groundnut,20.99,35.53,60.02,67.59,5.5,66.2,5.74,2
Cotton,36.79,21.91,40.24,94.92,2.39,52.4,30.83,1
Tomato,15.87,34.81,74.88,80.21,6.67,114.1,5.0,2
Rice,45.38,25.65,68.43,48.57,4.59,17.8,40.51,1
Chilli,64.54,22.71,52.98,68.09,5.84,64.8,53.03,0
Groundnut,71.09,33.56,39.2,26.73,7.76,63.6,53.99,0
Groundnut,57.3,29.4,85.92,48.15,7.98,51.9,45.26,1
Tomato,74.28,30.6,52.33,81.22,4.04,22.4,62.33,0
Tomato,43.46,30.41,50.15,64.59,1.25,37.7,31.3,1
Rice,74.41,21.19,40.56,80.49,4.96,118.1,64.05,0
Rice,50.45,21.03,66.75,55.88,5.15,98.9,45.33,1
Chilli,30.61,32.02,49.61,44.21,4.58,102.2,9.79,2
Chilli,81.09,32.48,81.36,76.83,3.38,66.0,68.09,0
Maize,34.25,20.94,72.55,18.44,4.65,82.8,25.95,2
Tomato,16.83,27.57,35.22,98.07,4.27,65.6,5.0,2
Cotton,31.99,32.26,66.11,95.35,7.56,84.5,19.81,2
Maize,40.67,33.13,47.75,89.23,6.7,105.0,22.51,2
Cotton,39.59,36.57,35.85,89.59,3.15,36.7,24.27,2
Groundnut,51.73,28.41,69.07,56.0,4.57,114.6,40.17,1
Tomato,76.82,30.97,46.27,54.82,4.53,110.5,60.21,0
Tomato,35.46,31.57,84.48,83.81,4.09,56.1,23.23,2
Groundnut,51.45,26.24,66.54,35.49,0.46,117.4,45.73,1
Chilli,38.81,21.08,46.51,86.49,5.7,107.1,27.96,2
Tomato,72.52,20.08,88.85,28.08,5.85,14.4,67.67,0
Chilli,26.03,36.72,65.05,89.12,3.87,14.6,5.28,2
Chilli,22.25,24.0,44.1,58.7,7.21,87.8,6.96,2
Groundnut,50.21,32.61,63.45,85.89,7.87,96.2,35.39,1
Tomato,62.03,31.54,87.76,54.38,6.5,37.4,48.53,1
Groundnut,70.69,27.99,58.33,64.76,7.42,64.9,58.04,0
Groundnut,56.27,36.67,58.39,93.41,3.9,69.3,40.3,1
Tomato,69.17,33.97,60.36,47.64,7.31,59.0,51.1,0
Rice,42.49,20.45,50.41,29.83,7.48,17.6,36.56,1
Chilli,17.3,35.53,43.9,18.19,4.99,34.1,5.0,2
Rice,23.13,30.14,66.84,63.1,1.21,99.6,10.97,2
Tomato,17.71,26.94,84.18,65.0,1.22,18.0,8.33,2
Maize,38.03,34.54,75.47,65.86,3.78,78.4,25.35,2
Groundnut,49.68,33.72,40.29,13.34,5.88,79.8,34.79,1
Groundnut,39.94,26.21,57.05,12.47,4.01,115.2,25.48,2
Rice,54.24,39.66,35.29,90.59,6.4,118.6,33.09,1
Groundnut,48.64,32.97,51.94,72.6,6.16,114.0,36.83,1
Rice,62.46,32.12,71.82,20.2,1.63,69.5,52.1,0
Cotton,61.69,21.4,50.96,16.72,1.06,14.6,62.25,0
Groundnut,37.26,25.59,81.23,24.57,5.65,40.5,27.44,2
Groundnut,39.24,28.94,61.26,82.62,2.56,62.3,27.75,2
Tomato,55.96,32.61,71.8,75.08,7.45,14.3,38.98,1
Groundnut,56.75,30.26,83.61,67.48,6.95,14.1,43.43,1
Rice,37.03,35.26,72.55,67.67,3.61,45.6,21.52,2
Chilli,38.12,25.25,84.35,87.3,4.64,52.6,29.26,2
Maize,63.58,34.04,79.44,40.01,6.78,73.9,48.97,1
Tomato,60.32,36.33,66.19,39.0,6.97,112.6,38.65,1
Rice,24.45,35.3,51.35,48.29,4.46,53.0,8.78,2
Cotton,45.87,35.42,51.4,99.07,7.78,15.3,34.37,1
Maize,77.49,37.77,83.14,59.94,4.17,69.4,64.77,0
Chilli,17.54,21.68,37.96,59.22,0.33,49.4,9.05,2
Maize,74.86,33.94,86.78,82.86,4.5,109.1,62.5,0
Maize,26.42,39.37,52.99,26.03,6.22,57.5,5.0,2
Groundnut,50.51,31.47,75.64,46.49,7.88,45.4,37.68,1
Rice,44.7,24.35,53.15,67.72,0.84,89.6,37.06,1
Cotton,15.71,39.98,87.43,98.92,3.52,64.3,5.0,2
Cotton,79.08,23.49,37.01,23.9,4.69,71.1,69.68,0
Maize,46.84,26.71,54.43,50.68,7.05,26.7,33.97,1
Tomato,81.8,23.44,82.71,91.5,5.73,51.3,70.86,0
Rice,35.07,29.29,50.07,75.3,1.85,15.1,28.89,2
Groundnut,75.64,28.38,50.16,65.24,6.88,93.0,63.13,0
Groundnut,79.57,29.82,84.43,33.14,5.31,37.0,68.99,0
Tomato,53.98,38.56,80.68,26.85,7.16,23.3,32.29,1
Rice,29.19,29.57,40.82,43.68,6.67,74.8,9.65,2
Rice,62.97,30.29,66.91,32.96,1.03,73.7,57.92,0
Rice,53.43,37.73,47.29,82.76,7.68,44.7,34.9,1
Cotton,81.12,36.36,46.83,74.86,3.63,115.9,68.18,0
Groundnut,45.75,24.79,68.85,85.17,7.86,79.9,32.69,1
Rice,33.8,20.26,41.81,25.4,1.5,111.9,25.85,2
Cotton,24.68,32.59,60.84,37.9,6.35,43.1,12.13,2
Tomato,63.9,36.9,49.07,79.17,2.44,70.7,46.34,1
Maize,83.19,31.06,81.97,24.72,0.36,55.5,75.22,0
Chilli,16.98,24.22,65.5,23.1,7.95,55.5,5.0,2
Cotton,66.83,34.83,46.83,44.48,2.43,15.3,53.46,0
Groundnut,79.89,33.39,85.96,26.78,0.64,34.2,71.36,0
Rice,20.23,31.3,80.26,17.1,6.88,105.6,5.0,2
Tomato,22.71,37.27,49.59,38.15,3.46,103.5,5.0,2
Tomato,63.44,35.68,87.86,88.8,4.61,21.6,49.49,1
